source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5036,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9331,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2083,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6438,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9175,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.307,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5247,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0898,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.4199,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7105,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9984,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.197,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5038,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9492,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.4693,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.9403,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.3417,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5341,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5264,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0033,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.5204,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.9634,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.3344,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5158,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.3045,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.7642,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1874,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.469,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.8058,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0292,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5029,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.956,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2691,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6796,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.138,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.6609,ens_005,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5044,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8755,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1335,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.2886,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6734,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2385,ens_006,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.6054,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0096,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.6412,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,2.0906,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.6984,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,3.1337,ens_007,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4932,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8762,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1011,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4771,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.822,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0816,ens_008,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4268,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8118,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1956,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7031,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0878,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.3067,ens_009,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.692,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0522,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2825,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5839,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.7599,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.8668,ens_010,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.516,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9265,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.5353,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,2.1327,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.7373,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,3.191,ens_011,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.3928,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.7659,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1462,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4987,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.5977,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.6842,ens_012,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5313,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0935,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3993,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.8369,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.3456,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.7206,ens_013,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.444,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8355,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3247,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6499,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9087,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.3314,ens_014,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5279,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9255,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3398,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7165,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0017,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0229,ens_015,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5852,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0949,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3645,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.808,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9523,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.061,ens_016,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4718,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9886,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3088,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.9148,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.2965,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5793,ens_017,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5165,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0242,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2927,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5724,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9327,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.1871,ens_018,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.3885,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9065,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3422,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6403,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.8853,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.1001,ens_019,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5327,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0013,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.4134,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7405,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0789,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.3626,ens_020,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.539,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8704,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2713,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4819,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.7409,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.9498,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4713,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9285,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1725,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.3979,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.5618,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.7518,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4581,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9476,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3666,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5873,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.7506,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0104,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5248,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9131,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2485,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5737,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0176,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2102,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5319,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9608,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1836,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4228,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6583,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0619,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.6118,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9345,ens_026,monthly,1993-2016
